Country	Type	Mountain	Latitude	Longitude	Elevation	Error
New Zealand	Mountain	Aiguilles Rouges	-43.577512	170.291729	2950 ??	InvalidElevationUnit
New Zealand	Mountain	Ferintosh Peak	??????	??????	2497 m	NonNumericLatitude
New Zealand	Mountain	Chest Peak	-43.103225	172.020258 1936 m	IncorrectNumberOfColumns
New Zealand    Mountain	Mount Barton	-41.556870	175.317244	889 m	IncorrectNumberOfColumns
New Zealand	Mountain    Fleetwood Peak	-45.069400	167.262901	1286 m	IncorrectNumberOfColumns
New Zealand	Mountain    Christmas Hill	-45.074114	167.309107	1165 m	IncorrectNumberOfColumns
New Zealand	Mountain	Mount Owen	-45301	167.571273	1763 m	InvalidLatitude
New Zealand	Mountain	Lorn Peak    -45.343978	168.791876	1638 m	IncorrectNumberOfColumns
Peru	Mountain	Nevado Yanaulo	-11.912652	-74.820124 5142 m	IncorrectNumberOfColumns
Pakistan	Mountain	Chhatri Mountain	33.305527	74.105762	???? m	NonNumericElevation
Philippines	Mountain    Mount Tungtayan	16.833333	120.650000	1600 m	IncorrectNumberOfColumns
Philippines	Mountain	Mount Llorente	10966	122.316728	1344 m	InvalidLatitude
Russia	Mountain	Mount Dyultydag    41.956700	46.926300	4127 m	IncorrectNumberOfColumns
Philippines	Mountain	Mount Orcog	16.483190	121.000028	???? m	NonNumericElevation
South Africa    Mountain	Kanonkop	-29.248007	17.736402	948 m	IncorrectNumberOfColumns
South Africa    Mountain	Rietberg	-29.485528	17.883860	1313 m	IncorrectNumberOfColumns
South Africa	Mountain	Koeberg	-33.716387	18.555995 351 m	IncorrectNumberOfColumns
South Africa	Mountain	Bordje	??????	??????	245 m	NonNumericLatitude
South Africa	Mountain	Groot Phesantekraal	-33.798438	18.676031 95 m	IncorrectNumberOfColumns
South Africa	Mountain	Wemmershoekpiek    -33.854240	19.189038	1687 m	IncorrectNumberOfColumns
South Africa	Mountain	Aasvoëlberg	-34.210362	21.672250	430		IncorrectNumberOfColumns
South Africa	Mountain	Spitskop	??????	??????	1204 m	NonNumericLatitude
South Africa	Mountain	Vaalkop	-25.567645	26265	1402 m	InvalidLongitude
South Africa	Mountain	Ribbokkop	-23.954091	28.532957	1461 ??	InvalidElevationUnit
South Africa	Mountain    Tama Kgoshi	-24.724481	30.048128	1883 m	IncorrectNumberOfColumns
South Africa    Mountain	Nyunyani	-22.823021	31.125341	454 m	IncorrectNumberOfColumns
South Africa	Mountain	Bokweni    -27.369997	31.986502	675 m	IncorrectNumberOfColumns
South Africa	Mountain	Mpampamana	-27.606478	31.901326	462 ??	InvalidElevationUnit
South Africa	Mountain	Kamrant	-30.882623 23.054610	1263 m	IncorrectNumberOfColumns
South Africa	Mountain	Bloukop	-29.050638	26.583792	???? m	NonNumericElevation
South Africa	Mountain	Intabamnyama	-30.605451	27.669758	2432 ??	InvalidElevationUnit
South Africa	Mountain	Grootberg	-32.222850	23.867171	???? m	NonNumericElevation
South Africa	Mountain	Beyersfontein    -32.344544	23.357161	1123 m	IncorrectNumberOfColumns
South Africa	Mountain	Spitskop	-32767	24.146866	958 m	InvalidLatitude
South Africa	Mountain	Koedoeskop	-33.436730	25.170640	275		IncorrectNumberOfColumns
South Africa	Mountain	Nsaly	-28.906220 30.617121	1338 m	IncorrectNumberOfColumns
South Africa	Mountain	Nkengeni	-30.048407	30.187172 898 m	IncorrectNumberOfColumns
South Africa	Mountain	Koba	-28.881569	31.056701	411		IncorrectNumberOfColumns
Switzerland	Mountain	Dent Blanche	46.036780	7.610664	4357		IncorrectNumberOfColumns
Taiwan	Mountain    Hong Mountain	24.444876	118.239261	80 m	IncorrectNumberOfColumns
Taiwan	Mountain	Hutou Mountain	??????	??????	61 m	NonNumericLatitude
Taiwan	Mountain	Dashe Mountain	24.258065	120.688706	182 ??	InvalidElevationUnit
Taiwan	Mountain	Dapingshan	22.981928	120.355842 68 m	IncorrectNumberOfColumns
Taiwan    Mountain	Beinan Main Mountain	23.051081	120.874347	3293 m	IncorrectNumberOfColumns
Taiwan	Mountain    Neipo Mountain	24.946188	121.455944	368 m	IncorrectNumberOfColumns
Taiwan	Mountain	Poluo Mountain	24.639374	121.477071	???? m	NonNumericElevation
Taiwan	Mountain	Pingfong Mountain	24.149645	121342	3248 m	InvalidLongitude
Taiwan	Mountain    Qilai Mountain	24.086174	121.323328	3559 m	IncorrectNumberOfColumns
Tanzania	Mountain	Chenene	-5.585119	35.808563	1794 ??	InvalidElevationUnit
Tanzania	Mountain	Parmusani    -8.834315	34.804419	1658 m	IncorrectNumberOfColumns
United States	Mountain	Square Peak	48.866409	-114.104519 2675 m	IncorrectNumberOfColumns
United States	Volcano	Haleakala	20.7100375889508	-156.25373840332	10,023 ft	InvalidElevationUnit
United States	Mountain	Mount Bross	39.3352932229744	-106.107501983643	14,172 ft	InvalidElevationUnit
United States	Mountain	Columbia Point	38.2963896	-105.2033248	13,980 ft	InvalidElevationUnit
United States	Mountain	Mogollon Baldy	33.271632	-108.594446	3283		IncorrectNumberOfColumns
United States	Mountain	Mount Zirkel	40.8312811391357	-106.663255691528	12,180 ft	InvalidElevationUnit
United States	Mountain	Challenger Point	37.9797245503786	-105.602645874023	14,080 ft	InvalidElevationUnit
United States	Mountain	Mount Frissell	42.055009	-73.475828	748		IncorrectNumberOfColumns
United States    Mountain	Fresno Dome	37.452666	-119.546666	2298 m	IncorrectNumberOfColumns
United States	Mountain	Wyoming Peak	42.6153280787144	-110.627431869507	11,378 ft	InvalidElevationUnit
United States	Mountain	North Maroon Peak	39.0760430125401	-106.98709487915	14,014 ft	InvalidElevationUnit
United States	Mountain	Lone Mountain	45.2782083170843	-111.450634002686	11,166 ft	InvalidElevationUnit
United States	Mountain	Mount Douglas	45.297882	-110.184761	11,300 ft	InvalidElevationUnit
United States	Mountain	Hyndman Peak	43.7493351828317	-114.131212234497	12,078 ft	InvalidElevationUnit
United States	Mountain	Washakie Needles	43.7475371069627	-109.2018699646	12,518 ft	InvalidElevationUnit
United States	Volcano	Mount Hood	45.3734935430662	-121.69581413269	11,239 ft	InvalidElevationUnit
United States	Mountain	Clements Mountain	48.692433	-113.741026	???? m	NonNumericElevation
United States	Mountain	Tweedy Mountain	45.4804752790816	-112.96537399292	11,154 ft	InvalidElevationUnit
United States	Mountain	Hollowtop Mountain	45.6116358575251	-112.008275985718	10,513 ft	InvalidElevationUnit
United States	Volcano	South Sister	44.1035502789205	-121.769371032715	10,358 ft	InvalidElevationUnit
United States	Mountain	Mount Powell	39.7603213077231	-106.340618133545	13,534 ft	InvalidElevationUnit
United States	Mountain	Denali	63.0695	-151.0074	20,320 ft	InvalidElevationUnit
Venezuela	Mountain	Cerro La Yegüera	??????	??????	255 m	NonNumericLatitude
Namibia	Mountain	Glynberg	-22.392090	16.546299	1777		IncorrectNumberOfColumns
Namibia	Mountain	Grossemassiv	-22.317665	16.906763	1826		IncorrectNumberOfColumns
Namibia	Mountain	Platkop    -24.627984	16.568174	1501 m	IncorrectNumberOfColumns
Namibia	Mountain	Nagel	-25317	16.222028	1562 m	InvalidLatitude
Namibia	Mountain	Hahnenkarn	-25.643697 16.463153	1864 m	IncorrectNumberOfColumns
Namibia    Mountain	Ganaams	-25.583271	16.568878	1928 m	IncorrectNumberOfColumns
Namibia	Mountain    Rotkuppe	-27.058584	15.586578	592 m	IncorrectNumberOfColumns
Namibia    Mountain	Eroseck	-22.515506	17.142596	1888 m	IncorrectNumberOfColumns
Namibia	Mountain	Bitter	??????	??????	1002 m	NonNumericLatitude
Canada	Mountain	Mont Brome	45.289210	-72.637891	554		IncorrectNumberOfColumns
Canada	Mountain	Mount Edith Cavell	52.667419	-118.056633	3368 ??	InvalidElevationUnit
Sri Lanka	Mountain	Little Adam's Peak	6.865050	81.063017 1151 m	IncorrectNumberOfColumns
Sri Lanka	Mountain	Buwalpola Kanda    6.974863	80.881605	1681 m	IncorrectNumberOfColumns
Chile	Mountain	Alto de las Placetas	-34.855087	-70.469549	???? m	NonNumericElevation
Chile	Mountain	Cerro Tres Horquetas	-39.022835	-71916	1533 m	InvalidLongitude
Chile	Mountain	Cerro Casa de Piedra	-38.249033	-71.806126	1711 ??	InvalidElevationUnit
Chile	Mountain	Cerro Rincón de Abra	??????	??????	725 m	NonNumericLatitude
